Date,Motu,Nb_ind
2019-10-09 00:00:00,Honuea,0.0
2019-10-09 00:00:00,Honuea,0.0
2019-10-09 00:00:00,Honuea,0.0
2019-10-09 00:00:00,Honuea,0.0
2019-10-09 00:00:00,Honuea,0.0
2019-10-23 00:00:00,Honuea,1.0
2019-10-23 00:00:00,Honuea,0.0
2019-10-23 00:00:00,Honuea,0.0
2019-10-23 00:00:00,Honuea,0.0
2019-10-23 00:00:00,Honuea,0.0
2019-11-06 00:00:00,Honuea,7.0
2019-11-06 00:00:00,Honuea,0.0
2019-11-06 00:00:00,Honuea,0.0
2019-11-06 00:00:00,Honuea,0.0
2019-11-06 00:00:00,Honuea,0.0
2019-11-20 00:00:00,Honuea,0.0
2019-11-20 00:00:00,Honuea,0.0
2019-11-20 00:00:00,Honuea,0.0
2019-11-20 00:00:00,Honuea,0.0
2019-11-20 00:00:00,Honuea,0.0
2019-12-04 00:00:00,Honuea,0.0
2019-12-04 00:00:00,Honuea,0.0
2019-12-04 00:00:00,Honuea,0.0
2019-12-04 00:00:00,Honuea,0.0
2019-12-04 00:00:00,Honuea,0.0
2019-12-18 00:00:00,Honuea,0.0
2019-12-18 00:00:00,Honuea,0.0
2019-12-18 00:00:00,Honuea,0.0
2019-12-18 00:00:00,Honuea,0.0
2019-12-18 00:00:00,Honuea,0.0
2020-01-02 00:00:00,Honuea,0.0
2020-01-02 00:00:00,Honuea,0.0
2020-01-02 00:00:00,Honuea,0.0
2020-01-02 00:00:00,Honuea,0.0
2020-01-02 00:00:00,Honuea,0.0
2020-01-15 00:00:00,Honuea,1.0
2020-01-15 00:00:00,Honuea,0.0
2020-01-15 00:00:00,Honuea,0.0
2020-01-15 00:00:00,Honuea,0.0
2020-01-15 00:00:00,Honuea,0.0
2020-01-29 00:00:00,Honuea,1.0
2020-01-29 00:00:00,Honuea,0.0
2020-01-29 00:00:00,Honuea,0.0
2020-01-29 00:00:00,Honuea,0.0
2020-01-29 00:00:00,Honuea,0.0
2020-02-12 00:00:00,Honuea,1.0
2020-02-12 00:00:00,Honuea,0.0
2020-02-12 00:00:00,Honuea,0.0
2020-02-12 00:00:00,Honuea,0.0
2020-02-12 00:00:00,Honuea,0.0
2020-02-26 00:00:00,Honuea,3.0
2020-02-26 00:00:00,Honuea,1.0
2020-02-26 00:00:00,Honuea,0.0
2020-02-26 00:00:00,Honuea,0.0
2020-02-26 00:00:00,Honuea,0.0
2020-03-11 00:00:00,Honuea,3.0
2020-03-11 00:00:00,Honuea,1.0
2020-03-11 00:00:00,Honuea,0.0
2020-03-11 00:00:00,Honuea,0.0
2020-03-11 00:00:00,Honuea,0.0
2020-06-17 00:00:00,Honuea,4.0
2020-06-17 00:00:00,Honuea,3.0
2020-06-17 00:00:00,Honuea,1.0
2020-06-17 00:00:00,Honuea,0.0
2020-06-17 00:00:00,Honuea,0.0
2020-06-24 00:00:00,Honuea,0.0
2020-06-24 00:00:00,Honuea,0.0
2020-06-24 00:00:00,Honuea,0.0
2020-06-24 00:00:00,Honuea,0.0
2020-06-24 00:00:00,Honuea,0.0
2020-07-01 00:00:00,Honuea,13.0
2020-07-01 00:00:00,Honuea,9.0
2020-07-01 00:00:00,Honuea,4.0
2020-07-01 00:00:00,Honuea,3.0
2020-07-01 00:00:00,Honuea,0.0
2020-07-15 00:00:00,Honuea,4.0
2020-07-15 00:00:00,Honuea,1.0
2020-07-15 00:00:00,Honuea,0.0
2020-07-15 00:00:00,Honuea,0.0
2020-07-15 00:00:00,Honuea,0.0
2020-07-29 00:00:00,Honuea,9.0
2020-07-29 00:00:00,Honuea,4.0
2020-07-29 00:00:00,Honuea,3.0
2020-07-29 00:00:00,Honuea,2.0
2020-07-29 00:00:00,Honuea,0.0
2020-08-12 00:00:00,Honuea,7.0
2020-08-12 00:00:00,Honuea,4.0
2020-08-12 00:00:00,Honuea,3.0
2020-08-12 00:00:00,Honuea,2.0
2020-08-12 00:00:00,Honuea,0.0
2020-08-26 00:00:00,Honuea,2.0
2020-08-26 00:00:00,Honuea,1.0
2020-08-26 00:00:00,Honuea,0.0
2020-08-26 00:00:00,Honuea,0.0
2020-08-26 00:00:00,Honuea,0.0
2020-09-02 00:00:00,Honuea,0.0
